d,agent_energy0,pred_energy0,arm,n,captures,energy_deaths,censored_alive_at_10s,pred_sleep_before_agent_death,distinct_trajectories_norng,capture_time_uncensored_n,capture_time_uncensored_mean,capture_time_uncensored_std,capture_time_uncensored_median,capture_time_uncensored_min,capture_time_uncensored_max,min_separation_n,min_separation_mean,min_separation_std,min_separation_median,min_separation_min,min_separation_max,time_chase_n,time_chase_mean,time_chase_std,time_chase_median,time_chase_min,time_chase_max,time_circle_n,time_circle_mean,time_circle_std,time_circle_median,time_circle_min,time_circle_max,time_no_target_n,time_no_target_mean,time_no_target_std,time_no_target_median,time_no_target_min,time_no_target_max,time_sleep_n,time_sleep_mean,time_sleep_std,time_sleep_median,time_sleep_min,time_sleep_max,agent_turn_cost_n,agent_turn_cost_mean,agent_turn_cost_std,agent_turn_cost_median,agent_turn_cost_min,agent_turn_cost_max,agent_move_cost_n,agent_move_cost_mean,agent_move_cost_std,agent_move_cost_median,agent_move_cost_min,agent_move_cost_max,final_agent_energy_survivors_n,final_agent_energy_survivors_mean,final_agent_energy_survivors_std,final_agent_energy_survivors_median,final_agent_energy_survivors_min,final_agent_energy_survivors_max,final_separation_survivors_n,final_separation_survivors_mean,final_separation_survivors_std,final_separation_survivors_median,final_separation_survivors_min,final_separation_survivors_max
80,150,200,A20,3,3,0,0,0,1,3,3.2,0.0,3.2,3.2,3.2,3,10.0,0.0,10.0,10.0,10.0,3,3.2,0.0,3.2,3.2,3.2,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.5,0.0,0.5,0.5,0.5,3,61.0,0.0,61.0,61.0,61.0,0,,,,,,0,,,,,
80,150,200,F20,3,3,0,0,0,1,3,3.2,0.0,3.2,3.2,3.2,3,10.0,0.0,10.0,10.0,10.0,3,1.3,0.0,1.3,1.3,1.3,3,1.9,0.0,1.9,1.9,1.9,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,61.0,0.0,61.0,61.0,61.0,0,,,,,,0,,,,,
80,300,101,S0,3,3,0,0,0,1,3,0.5,0.0,0.5,0.5,0.5,3,5.0,0.0,5.0,5.0,5.0,3,0.5,0.0,0.5,0.5,0.5,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0,,,,,,0,,,,,
80,300,101,A10,3,3,0,0,0,1,3,1.4,0.0,1.4,1.4,1.4,3,10.0,0.0,10.0,10.0,10.0,3,1.4,0.0,1.4,1.4,1.4,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.5,0.0,0.5,0.5,0.5,3,7.0,0.0,7.0,7.0,7.0,0,,,,,,0,,,,,
80,300,101,F10,3,3,0,0,0,1,3,1.4,0.0,1.4,1.4,1.4,3,10.0,0.0,10.0,10.0,10.0,3,1.3,0.0,1.3,1.3,1.3,3,0.1,0.0,0.1,0.1,0.1,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,7.0,0.0,7.0,7.0,7.0,0,,,,,,0,,,,,
80,300,101,A15,3,0,0,3,3,3,0,,,,,,3,80.0,0.0,80.0,80.0,80.0,3,8.0,1.473091986265624,8.8,6.3,8.9,3,0.0,0.0,0.0,0.0,0.0,3,1.6666666666666665,1.4153915830374761,0.9,0.8,3.3,3,0.3333333333333333,0.057735026918962595,0.3,0.3,0.4,3,0.5,0.0,0.5,0.5,0.5,3,212.5,0.0,212.5,212.5,212.5,3,77.00000000000017,0.0,77.00000000000017,77.00000000000017,77.00000000000017,3,258.4240420503872,27.600804124357097,242.82452605767085,242.15523727482503,290.29236281866565
80,300,101,F15,3,0,0,3,3,3,0,,,,,,3,80.0,0.0,80.0,80.0,80.0,3,0.0,0.0,0.0,0.0,0.0,3,6.833333333333333,0.4618802153517005,7.1,6.3,7.1,3,2.8,0.4358898943540672,2.6,2.5,3.3,3,0.3666666666666667,0.057735026918962595,0.4,0.3,0.4,3,0.0,0.0,0.0,0.0,0.0,3,212.5,0.0,212.5,212.5,212.5,3,77.50000000000017,0.0,77.50000000000017,77.50000000000017,77.50000000000017,3,279.0015922601327,11.293021183962983,279.0060921661919,267.7063217955407,290.29236281866565
80,300,101,A20,3,0,0,3,3,3,0,,,,,,3,80.0,0.0,80.0,80.0,80.0,3,2.8,0.0,2.8,2.8,2.8,3,0.0,0.0,0.0,0.0,0.0,3,6.8,0.0,6.8,6.8,6.8,3,0.4,0.0,0.4,0.4,0.4,3,0.5,0.0,0.5,0.5,0.5,3,230.0,0.0,230.0,230.0,230.0,3,59.50000000000031,0.0,59.50000000000031,59.50000000000031,59.50000000000031,3,317.3100959082066,26.62984918712986,308.444357217834,296.2439873163304,347.2419431904555
80,300,101,F20,3,0,0,3,3,3,0,,,,,,3,80.0,0.0,80.0,80.0,80.0,3,0.0,0.0,0.0,0.0,0.0,3,2.8,0.0,2.8,2.8,2.8,3,6.8,0.0,6.8,6.8,6.8,3,0.4,0.0,0.4,0.4,0.4,3,0.0,0.0,0.0,0.0,0.0,3,230.0,0.0,230.0,230.0,230.0,3,60.00000000000032,0.0,60.00000000000032,60.00000000000032,60.00000000000032,3,317.3100959082066,26.62984918712986,308.444357217834,296.2439873163304,347.2419431904555
80,300,200,S0,3,3,0,0,0,1,3,0.5,0.0,0.5,0.5,0.5,3,5.0,0.0,5.0,5.0,5.0,3,0.5,0.0,0.5,0.5,0.5,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0,,,,,,0,,,,,
