seed,status,score,sim_time,steps,survived_full_game,agents_alive_end,peak_agents,agents_spawned,predators_end,score_minus_time,latency_mean_ms,latency_p95_ms,latency_max_ms,env_init_sec,wall_clock_sec
0,ok,15.69999999999996,15.69999999999996,157,False,0,10,5,0,0.0,0.12606730272706884,0.1317250425927341,4.580700071528554,3.048049099976197,4.404986000037752
1,ok,21.757400000000043,21.70000000000004,217,False,0,10,5,0,0.05740000000000478,0.07944907001392157,0.1302000309806317,0.22219994571059942,3.135254100081511,4.469305300037377
2,ok,15.69999999999996,15.69999999999996,157,False,0,10,5,0,0.0,0.09550513380254881,0.1320500741712749,0.3567000385373831,3.261218599975109,4.636930599925108
3,ok,21.54660000000004,21.400000000000034,214,False,0,10,5,0,0.1466000000000065,0.08603239031902081,0.12591998092830178,0.22549997083842754,3.1028948000166565,4.733315300079994
4,ok,19.935800000000015,19.900000000000013,199,False,0,10,5,0,0.03580000000000183,0.05627171526841744,0.09973494452424346,0.22899999748915434,2.1613950000610203,3.1050816000206396
