experiment_id,run_id,date,agent,config_hash,seed,mean_raw_score,std_raw_score,median_raw_score,min_raw_score,max_raw_score,mean_survival_steps,illegal_moves,override_count,wall_clock_sec,status,notes
C1-E00,C1-E00_dummy_v0_20260917-104326,2026-09-17,dummy_v0,e27e72fb908f,0 1 2 3 4,18.928,3.0298,19.9358,15.7,21.7574,188.8,0,0,8.8,ok,rev=9ff405b; os=Windows; config=training/configs/dummy_v0.json
C1-E01,C1-E01_heuristic_v0_20260917-104335,2026-09-17,heuristic_v0,2793444c26b8,0 1 2 3 4,698.2774,205.2111,657.8089,492.5242,981.0946,6947,0,0,269.9,ok,rev=9ff405b-dirty; os=Windows; config=training/configs/heuristic_v0.json
