seed,status,score,sim_time,steps,survived_full_game,agents_alive_end,peak_agents,agents_spawned,predators_end,score_minus_time,latency_mean_ms,latency_p95_ms,latency_max_ms,env_init_sec,wall_clock_sec
0,ok,657.8088581933979,652.3000000000798,6523,False,0,57,201,3,5.508858193318133,0.09895044508381846,0.23549493635073301,3.2288000220432878,3.176967200008221,164.21386139991228
1,ok,531.9608891129693,536.6000000000535,5366,False,0,65,204,8,-4.6391108870841435,0.12152982241658968,0.295159942470491,1.982599962502718,3.065499100019224,180.0497994000325
2,ok,827.9985174842113,854.9000000001258,8549,False,0,47,251,6,-26.901482515914495,0.08874857286089367,0.20066501456312832,2.6322000194340944,2.9067870000144467,193.0333532000659
3,ok,981.0945576383092,944.0000000001461,9440,False,0,68,307,9,37.09455763816311,0.12417462724860391,0.27931003132835036,75.63119998667389,3.137093500001356,268.59646960010286
4,ok,492.524164701985,485.70000000004194,4857,False,0,35,105,4,6.824164701943062,0.06229602667515333,0.14515002840198576,2.776099951006472,3.289386500022374,82.32384089997504
