d,agent_energy0,pred_energy0,arm,n,captures,energy_deaths,censored_alive_at_30s,distinct_trajectories_norng,capture_time_uncensored_n,capture_time_uncensored_mean,capture_time_uncensored_std,capture_time_uncensored_median,capture_time_uncensored_min,capture_time_uncensored_max,min_separation_n,min_separation_mean,min_separation_std,min_separation_median,min_separation_min,min_separation_max,time_chase_n,time_chase_mean,time_chase_std,time_chase_median,time_chase_min,time_chase_max,time_circle_n,time_circle_mean,time_circle_std,time_circle_median,time_circle_min,time_circle_max,time_edge_avoid_n,time_edge_avoid_mean,time_edge_avoid_std,time_edge_avoid_median,time_edge_avoid_min,time_edge_avoid_max,time_wander_n,time_wander_mean,time_wander_std,time_wander_median,time_wander_min,time_wander_max,time_sleep_n,time_sleep_mean,time_sleep_std,time_sleep_median,time_sleep_min,time_sleep_max,eligible_circle_ticks_n,eligible_circle_ticks_mean,eligible_circle_ticks_std,eligible_circle_ticks_median,eligible_circle_ticks_min,eligible_circle_ticks_max,nonzero_pivot_ticks_n,nonzero_pivot_ticks_mean,nonzero_pivot_ticks_std,nonzero_pivot_ticks_median,nonzero_pivot_ticks_min,nonzero_pivot_ticks_max,agent_turn_cost_n,agent_turn_cost_mean,agent_turn_cost_std,agent_turn_cost_median,agent_turn_cost_min,agent_turn_cost_max,agent_move_cost_n,agent_move_cost_mean,agent_move_cost_std,agent_move_cost_median,agent_move_cost_min,agent_move_cost_max,final_agent_energy_survivors_n,final_agent_energy_survivors_mean,final_agent_energy_survivors_std,final_agent_energy_survivors_median,final_agent_energy_survivors_min,final_agent_energy_survivors_max,final_separation_survivors_n,final_separation_survivors_mean,final_separation_survivors_std,final_separation_survivors_median,final_separation_survivors_min,final_separation_survivors_max,pred_displacement_along_escape_from_own_start_n,pred_displacement_along_escape_from_own_start_mean,pred_displacement_along_escape_from_own_start_std,pred_displacement_along_escape_from_own_start_median,pred_displacement_along_escape_from_own_start_min,pred_displacement_along_escape_from_own_start_max,pred_dist_from_ref_final_n,pred_dist_from_ref_final_mean,pred_dist_from_ref_final_std,pred_dist_from_ref_final_median,pred_dist_from_ref_final_min,pred_dist_from_ref_final_max
120,150,101,S10_D-15,3,3,0,0,1,3,5.5,0.0,5.5,5.5,5.5,3,14.578595859948654,0.0,14.578595859948654,14.578595859948654,14.578595859948654,3,3.5,0.0,3.5,3.5,3.5,3,2.0,0.0,2.0,2.0,2.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,20.0,0.0,20.0,20.0,20.0,3,55.0,0.0,55.0,55.0,55.0,3,0.3453511044779276,0.0,0.3453511044779276,0.3453511044779276,0.3453511044779276,3,27.5,0.0,27.5,27.5,27.5,0,,,,,,0,,,,,,3,655.421404140714,0.0,655.421404140714,655.421404140714,655.421404140714,3,535.4214041407321,0.0,535.4214041407321,535.4214041407321,535.4214041407321
120,150,101,S10_D0,3,3,0,0,1,3,2.2,0.0,2.2,2.2,2.2,3,10.0,0.0,10.0,10.0,10.0,3,1.3,0.0,1.3,1.3,1.3,3,0.9,0.0,0.9,0.9,0.9,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,9.0,0.0,9.0,9.0,9.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,11.0,0.0,11.0,11.0,11.0,0,,,,,,0,,,,,,3,330.0,0.0,330.0,330.0,330.0,3,210.0,0.0,210.0,210.0,210.0
120,150,101,S15_D+15,3,0,3,0,3,3,17.9,0.0,17.9,17.9,17.9,3,67.40822546068084,0.0,67.40822546068084,67.40822546068084,67.40822546068084,3,0.4,0.0,0.4,0.4,0.4,3,9.2,0.0,9.2,9.2,9.2,3,0.0,0.0,0.0,0.0,0.0,3,4.9,0.0,4.9,4.9,4.9,3,3.4,0.0,3.4,3.4,3.4,3,92.0,0.0,92.0,92.0,92.0,3,96.0,0.0,96.0,96.0,96.0,3,0.2929805837530992,0.0,0.2929805837530992,0.2929805837530992,0.2929805837530992,3,132.0,0.0,132.0,132.0,132.0,0,,,,,,0,,,,,,3,1472.3916062006074,22.05890768270001,1471.5163214582817,1450.7833687839557,1494.8751283595848,3,1398.5936401862232,16.512078992707476,1397.7891053924166,1382.4985352018782,1415.493279964375
120,150,101,S15_D-15,3,0,3,0,3,3,17.9,0.0,17.9,17.9,17.9,3,67.40822546068084,0.0,67.40822546068084,67.40822546068084,67.40822546068084,3,0.4,0.0,0.4,0.4,0.4,3,9.2,0.0,9.2,9.2,9.2,3,0.0,0.0,0.0,0.0,0.0,3,4.9,0.0,4.9,4.9,4.9,3,3.4,0.0,3.4,3.4,3.4,3,92.0,0.0,92.0,92.0,92.0,3,96.0,0.0,96.0,96.0,96.0,3,0.2929805837530992,0.0,0.2929805837530992,0.2929805837530992,0.2929805837530992,3,132.0,0.0,132.0,132.0,132.0,0,,,,,,0,,,,,,3,1565.0767621906778,14.291692677107612,1565.5929314769,1550.5339774622353,1579.1033776328977,3,1465.5306042694651,9.876375474907297,1465.7045560576714,1455.568401891737,1475.3188548589867
120,150,101,S15_D0,3,3,0,0,1,3,9.5,0.0,9.5,9.5,9.5,3,14.0,0.0,14.0,14.0,14.0,3,6.5,0.0,6.5,6.5,6.5,3,3.0,0.0,3.0,3.0,3.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,30.0,0.0,30.0,30.0,30.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,90.0,0.0,90.0,90.0,90.0,0,,,,,,0,,,,,,3,1141.0,0.0,1141.0,1141.0,1141.0,3,1021.0,0.0,1021.0,1021.0,1021.0
120,150,101,S20_D+15,3,0,3,0,3,3,17.5,0.0,17.5,17.5,17.5,3,88.47199098423633,0.0,88.47199098423633,88.47199098423633,88.47199098423633,3,0.0,0.0,0.0,0.0,0.0,3,9.7,0.0,9.7,9.7,9.7,3,0.0,0.0,0.0,0.0,0.0,3,4.4,0.0,4.4,4.4,4.4,3,3.4,0.0,3.4,3.4,3.4,3,97.0,0.0,97.0,97.0,97.0,3,97.0,0.0,97.0,97.0,97.0,3,0.1437264987391842,0.0,0.1437264987391842,0.1437264987391842,0.1437264987391842,3,132.5,0.0,132.5,132.5,132.5,0,,,,,,0,,,,,,3,1357.8932198513712,174.77218904655493,1439.305745038775,1157.2672317042452,1477.1066828110934,3,1281.5301554695159,147.2899998616342,1352.184226583454,1112.224219575553,1380.1820202495408
120,150,101,S20_D-15,3,0,3,0,3,3,17.5,0.0,17.5,17.5,17.5,3,88.47199098423633,0.0,88.47199098423633,88.47199098423633,88.47199098423633,3,0.0,0.0,0.0,0.0,0.0,3,9.7,0.0,9.7,9.7,9.7,3,0.0,0.0,0.0,0.0,0.0,3,4.4,0.0,4.4,4.4,4.4,3,3.4,0.0,3.4,3.4,3.4,3,97.0,0.0,97.0,97.0,97.0,3,97.0,0.0,97.0,97.0,97.0,3,0.1437264987391842,0.0,0.1437264987391842,0.1437264987391842,0.1437264987391842,3,132.5,0.0,132.5,132.5,132.5,0,,,,,,0,,,,,,3,1381.9676218725187,144.79129947180957,1328.5138750719589,1271.5028660913085,1545.8861244542886,3,1303.3064074389931,116.40374915140957,1262.6752619213817,1212.6640362417697,1434.579924153828
120,150,101,S20_D0,3,0,3,0,3,3,17.6,0.0,17.6,17.6,17.6,3,17.0,0.0,17.0,17.0,17.0,3,6.2,0.0,6.2,6.2,6.2,3,3.5,0.0,3.5,3.5,3.5,3,0.0,0.0,0.0,0.0,0.0,3,4.5,0.0,4.5,4.5,4.5,3,3.4,0.0,3.4,3.4,3.4,3,35.0,0.0,35.0,35.0,35.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,133.0,0.0,133.0,133.0,133.0,0,,,,,,0,,,,,,3,1623.9859783632166,31.60989967560218,1631.3803258226362,1589.3343465258504,1651.2432627411636,3,1512.422643004166,22.71090806238316,1516.7383437322817,1487.8635339603593,1532.6660513198572
120,150,200,S10_D+15,3,3,0,0,1,3,3.1,0.0,3.1,3.1,3.1,3,11.504004399844865,0.0,11.504004399844865,11.504004399844865,11.504004399844865,3,1.1,0.0,1.1,1.1,1.1,3,2.0,0.0,2.0,2.0,2.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,20.0,0.0,20.0,20.0,20.0,3,31.0,0.0,31.0,31.0,31.0,3,0.34719019543442187,0.0,0.34719019543442187,0.34719019543442187,0.34719019543442187,3,15.5,0.0,15.5,15.5,15.5,0,,,,,,0,,,,,,3,418.5862249294105,0.0,418.5862249294105,418.5862249294105,418.5862249294105,3,298.589687654256,0.0,298.589687654256,298.589687654256,298.589687654256
120,150,200,S10_D-15,3,3,0,0,1,3,3.1,0.0,3.1,3.1,3.1,3,11.504004399844865,0.0,11.504004399844865,11.504004399844865,11.504004399844865,3,1.1,0.0,1.1,1.1,1.1,3,2.0,0.0,2.0,2.0,2.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3,20.0,0.0,20.0,20.0,20.0,3,31.0,0.0,31.0,31.0,31.0,3,0.34719019543442187,0.0,0.34719019543442187,0.34719019543442187,0.34719019543442187,3,15.5,0.0,15.5,15.5,15.5,0,,,,,,0,,,,,,3,418.5862249294105,0.0,418.5862249294105,418.5862249294105,418.5862249294105,3,298.589687654256,0.0,298.589687654256,298.589687654256,298.589687654256
